key,moment,displayStart,displayEnd,picture,slogan,target
banner-01,2011/01/29 21:39,2016/01/29 11:40,2022/01/29 21:39,https://i.imgur.com/8YcXhS0.png,Be the hero nature needs,https://www.worldwildlife.org/
banner-02,2015/02/24 21:39,2016/01/29 11:40,2027/01/29 21:39,https://i.imgur.com/MtBRoNP.png,Medical care where it's needed most,https://www.doctorswithoutborders.org/
banner-03,2012/08/19 21:39,2013/01/29 11:40,2024/01/29 21:39,https://i.imgur.com/NGLSjk6.png,The world’s platform for change,https://www.change.org/
banner-04,2019/08/19 21:39,2020/01/20 11:40,2024/01/29 21:39,https://i.imgur.com/fihihcF.png,El gancho que muchos menores necesitan,https://fundacionelgancho.org/
banner-05,2010/08/21 21:39,2021/01/29 11:40,2024/01/29 21:39,https://i.imgur.com/2eVF1HG.png,Por un deporte inclusivo,https://www.afoprodei.com/
banner-06,2022/07/29 00:00,2022/07/29 00:01,2022/08/05 00:01,https://i.imgur.com/8YcXhS0.png,Base slogan,https://www.worldwildlife.org/
banner-07,2022/07/30 00:00,2022/07/30 00:01,2022/08/06 00:01,https://i.imgur.com/MtBRoNP.png,Base slogan,https://www.doctorswithoutborders.org/
banner-08,0001/12/31 23:00,0001/12/31 23:01,0002/01/06 23:01,https://i.imgur.com/NGLSjk6.png,Base slogan,https://www.change.org/
banner-09,2022/07/29 00:00,2100/12/24 23:59,2100/12/31 23:59,https://i.imgur.com/fihihcF.png,Base slogan,https://fundacionelgancho.org/
banner-10,2022/07/30 00:00,2100/12/24 23:55,2100/12/31 23:55,https://i.imgur.com/2eVF1HG.png,Base slogan,https://www.afoprodei.com/
banner-11,2022/07/29 00:00,2022/07/29 00:01,2022/08/05 00:01,https://i.imgur.com/8YcXhS0.png,Base slogan,https://www.worldwildlife.org/
banner-12,2022/07/29 00:00,2022/07/29 00:01,2022/08/05 00:01,https://i.imgur.com/MtBRoNP.png,聞存給東期京検保大姫転,https://www.doctorswithoutborders.org/
banner-13,2022/07/29 00:00,2022/07/29 00:01,2022/08/05 00:01,https://i.imgur.com/NGLSjk6.png,<h1>Base slogan</h1>,https://www.change.org/
banner-14,2022/07/29 00:00,2022/07/29 00:01,2022/08/05 00:01,https://i.imgur.com/fihihcF.png,This text has exactly 75 characters!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,https://fundacionelgancho.org/